data;horario;n_da_ocorrencia;tipo_de_ocorrencia;km;trecho;sentido;tipo_de_acidente;automovel;bicicleta;caminhao;moto;onibus;outros;tracao_animal;transporte_de_cargas_especiais;trator_maquinas;utilitarios;ilesos;levemente_feridos;moderadamente_feridos;gravemente_feridos;mortos
"08/07/2014";"04:27:00";"97";"sem vítima";"60";"BR-050/MG";"Sul";"Colisão Traseira";2;0;0;0;0;0;0;0;0;0;5;0;0;0;0
"09/07/2014";"01:16:00";"5";"com vítima";"133.8";"BR-050/MG";"Sul";"Capotamento";1;0;0;0;0;0;0;0;0;0;0;1;0;0;0
"09/07/2014";"07:14:00";"22";"sem vítima";"22";"BR-050/MG";"Norte";"Saida de Pista";1;0;0;0;0;0;0;0;0;0;1;0;0;0;0
"09/07/2014";"08:34:00";"37";"sem vítima";"140";"BR-050/MG";"Norte";"Queda de Moto";0;0;0;1;0;0;0;0;0;0;2;0;0;0;0
"09/07/2014";"11:21:00";"56";"sem vítima";"120.9";"BR-050/GO";"Norte";"Colisão Traseira";0;0;2;0;1;0;0;0;0;0;22;0;0;0;0
"09/07/2014";"11:36:00";"58";"sem vítima";"282.3";"BR-050/GO";"Sul";"Colisão Traseira";2;0;0;0;0;0;0;0;0;0;2;0;0;0;0
"09/07/2014";"03:00:00";"90";"com vítima";"13.1";"BR-050/MG";"Norte";"Saida de Pista";1;0;0;0;0;0;0;0;0;0;3;1;0;0;0
"09/07/2014";"09:37:00";"123";"sem vítima";"34";"BR-050/MG";"Sul";"Capotamento";1;0;0;0;0;0;0;0;0;0;3;0;0;0;0
"10/07/2014";"09:45:00";"32";"sem vítima";"79";"BR-050/MG";"Norte";"Saida de Pista";1;0;0;0;0;0;0;0;0;0;1;0;0;0;0
"10/07/2014";"11:05:00";"42";"sem vítima";"118.3";"BR-050/MG";"Norte";"Saida de Pista";1;0;0;0;0;0;0;0;0;0;1;0;0;0;0
"10/07/2014";"02:44:00";"65";"sem vítima";"279.6";"BR-050/GO";"Sul";"Colisão Lateral";1;0;1;0;0;0;0;0;0;0;2;0;0;0;0
"10/07/2014";"03:03:00";"68";"sem vítima";"47.5";"BR-050/MG";"Sul";"Saida de Pista";0;0;1;0;0;0;0;0;0;0;1;0;0;0;0
"10/07/2014";"07:16:00";"98";"com vítima";"61";"BR-050/MG";"Sul";"Saida de Pista";1;0;0;0;0;0;0;0;0;0;2;2;0;0;0
"10/07/2014";"10:56:00";"112";"sem vítima";"255.6";"BR-050/GO";"Norte";"Colisão Frontal";2;0;0;0;0;0;0;0;0;0;6;0;0;0;0
"11/07/2014";"08:25:00";"20";"sem vítima";"2";"BR-050/MG";"Norte";"Colisão Lateral";0;0;0;0;0;0;0;0;0;1;1;0;0;0;0
"11/07/2014";"06:23:00";"90";"sem vítima";"279";"BR-050/GO";"Sul";"Colisão Lateral";1;0;1;0;0;0;0;0;0;0;3;0;0;0;0
"11/07/2014";"09:07:00";"112";"com vítima";"40";"BR-050/MG";"Sul";"Capotamento";1;0;0;0;0;0;0;0;0;0;0;0;0;0;1
"12/07/2014";"06:45:00";"13";"com vítima";"82";"BR-050/MG";"Sul";"Colisão Traseira";2;0;0;0;0;0;0;0;0;0;7;1;0;1;0
"12/07/2014";"01:02:00";"54";"com vítima";"146";"BR-050/GO";"Sul";"Capotamento";1;0;0;0;0;0;0;0;0;0;1;1;0;0;0
"12/07/2014";"02:48:00";"66";"sem vítima";"25.2";"BR-050/MG";"Sul";"Colisão Traseira";0;0;2;0;0;0;0;0;0;0;2;0;0;0;0
"12/07/2014";"06:09:00";"88";"com vítima";"4";"BR-050/MG";"Sul";"Saida de Pista";1;0;0;0;0;0;0;0;0;0;0;3;0;0;0
"12/07/2014";"06:31:00";"89";"sem vítima";"29.7";"BR-050/MG";"Norte";"Capotamento";1;0;0;0;0;0;0;0;0;0;1;0;0;0;0
"12/07/2014";"09:50:00";"103";"sem vítima";"176.6";"BR-050/MG";"Sul";"Colisão Traseira";1;0;0;0;0;0;0;0;0;1;2;0;0;0;0
"13/07/2014";"10:59:00";"48";"com vítima";"203";"BR-050/MG";"Sul";"Colisão Traseira";1;0;1;0;0;0;0;0;0;0;2;1;0;0;0
"14/07/2014";"02:25:00";"6";"sem vítima";"33";"BR-050/MG";"Sul";"Tombamento";0;0;0;0;0;0;0;0;0;1;1;0;0;0;0
"14/07/2014";"07:18:00";"96";"sem vítima";"42";"BR-050/MG";"Sul";"Choque - Barranco";1;0;0;0;0;0;0;0;0;0;1;0;0;0;0
