data;horario;n_da_ocorrencia;tipo_de_ocorrencia;km;trecho;sentido;tipo_de_acidente;automovel;bicicleta;caminhao;moto;onibus;outros;tracao_animal;transporte_de_cargas_especiais;trator_maquinas;utilitarios;ilesos;levemente_feridos;moderadamente_feridos;gravemente_feridos;mortos
"28/02/2024";"01:19:51";"11";"Sinistro s";"273";"PR-151";"Leste";"Capotamento";1;0;0;0;0;0;0;0;0;0;1;0;0;0;0
"28/02/2024";"07:50:04";"51";"Sinistro s";"296.381";"PR-151";"Oeste";"Colisão Traseira";2;0;0;0;0;0;0;0;0;0;2;0;0;0;0
"28/02/2024";"11:48:00";"116";"Sinistro s";"258.263";"PR-151";"Leste";"Tombamento";0;0;0;0;1;0;0;0;0;0;1;0;0;0;0
"28/02/2024";"01:11:00";"131";"Sinistro c";"317.772";"PR-151";"Leste";"Choque";1;0;0;0;0;0;0;0;0;0;0;1;0;0;0
"28/02/2024";"03:08:29";"147";"Sinistro c";"1.601";"BR-277/PR";"Leste";"Colisão Frontal";0;1;0;0;0;0;0;0;0;1;1;0;1;0;0
"28/02/2024";"10:57:18";"193";"Sinistro c";"65.1";"BR-369/PR";"Oeste";"Atropelamento de Animal";0;0;0;1;0;0;0;0;0;0;0;0;1;0;0
"28/02/2024";"11:58:54";"196";"Sinistro c";"44.59";"BR-369/PR";"Leste";"Tombamento";0;0;1;0;0;0;0;0;0;0;0;1;0;0;0
"29/02/2024";"12:02:00";"1";"Sinistro c";"203.069";"PR-151";"Leste";"Colisão Lateral";0;0;2;0;0;0;0;0;0;0;1;1;0;0;0
"29/02/2024";"01:05:59";"10";"Sinistro s";"47.2";"BR-277/PR";"Oeste";"Saída de Pista";1;0;0;0;0;0;0;0;0;0;1;0;0;0;0
"29/02/2024";"06:21:00";"23";"Sinistro s";"63.03";"BR-277/PR";"Oeste";"Choque";1;0;0;0;0;0;0;0;0;0;1;0;0;0;0
"29/02/2024";"06:56:00";"26";"Sinistro c";"80.901";"BR-277/PR";"Oeste";"Colisão Lateral";1;0;0;1;0;0;0;0;0;0;0;0;1;0;0
"29/02/2024";"10:06:14";"52";"Sinistro c";"81.003";"BR-277/PR";"Oeste";"Colisão Lateral";2;0;0;0;0;0;0;0;0;0;0;0;2;0;0
"29/02/2024";"10:37:26";"54";"Sinistro s";"11.221";"PR-411";"Sul";"Colisão Lateral";1;0;0;0;0;0;0;0;0;0;1;0;0;0;0
"29/02/2024";"02:42:58";"76";"Sinistro c";"3.1";"BR-277/PR";"Leste";"Colisão Traseira";1;0;1;0;0;0;0;0;0;0;0;1;0;0;0
"29/02/2024";"09:47:06";"116";"Sinistro s";"81.2";"BR-277/PR";"Leste";"Choque";1;0;0;0;0;0;0;0;0;0;1;0;0;0;0
"01/03/2024";"06:28:01";"35";"Sinistro c";"303.134";"PR-151";"Oeste";"Colisão Traseira";0;0;1;0;1;0;0;0;0;0;13;5;1;0;0
"01/03/2024";"07:33:05";"45";"Sinistro s";"81";"BR-277/PR";"Oeste";"Saída de Pista";0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
"01/03/2024";"07:41:58";"47";"Sinistro c";"75";"BR-277/PR";"Oeste";"Queda de Moto";1;0;0;1;0;0;0;0;0;0;0;1;1;0;0
"01/03/2024";"03:43:22";"94";"Sinistro s";"3.99";"BR-369/PR";"Leste";"Saída de Pista";1;0;0;0;0;0;0;0;0;0;2;0;0;0;0
"01/03/2024";"05:15:16";"111";"Sinistro s";"24.5";"BR-277/PR";"Oeste";"Colisão Traseira";1;0;1;0;0;0;0;0;0;0;3;0;0;0;0
"01/03/2024";"05:25:38";"114";"Sinistro s";"84";"BR-277/PR";"Leste";"Colisão Traseira";1;0;0;0;0;0;0;0;0;0;4;0;0;0;0
"01/03/2024";"06:40:02";"119";"Sinistro s";"220.514";"PR-151";"Leste";"Choque";1;0;0;0;0;0;0;0;0;0;1;0;0;0;0
"01/03/2024";"07:20:26";"120";"Sinistro s";"23";"PR-508";"Sul";"Saída de Pista";1;0;0;0;0;0;0;0;0;0;3;0;0;0;0
"01/03/2024";"08:54:30";"132";"Sinistro c";"52";"BR-277/PR";"Leste";"Queda de Moto";0;0;0;1;0;0;0;0;0;0;1;1;0;0;0
"01/03/2024";"09:48:07";"136";"Sinistro c";"0.1";"PR-407";"Norte";"Queda de Bicicleta";0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
"01/03/2024";"10:21:00";"143";"Sinistro s";"20";"BR-277/PR";"Leste";"Saída de Pista";1;0;0;0;0;0;0;0;0;0;1;0;0;0;0
"02/03/2024";"02:14:03";"13";"Sinistro c";"11";"PR-407";"Norte";"Queda de Moto";0;0;0;0;0;0;0;0;0;0;0;2;0;0;0
"02/03/2024";"02:42:21";"15";"Sinistro s";"23";"BR-277/PR";"Leste";"Choque";0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
"02/03/2024";"08:11:00";"37";"Sinistro s";"36.4";"BR-277/PR";"Leste";"Choque";1;0;0;0;0;0;0;0;0;0;3;0;0;0;0
"02/03/2024";"09:54:11";"48";"Sinistro c";"6.7";"PR-407";"Sul";"Colisão Frontal";2;0;0;0;0;0;0;0;0;0;0;0;1;1;1
"02/03/2024";"10:49:13";"52";"Sinistro c";"257";"PR-151";"Leste";"Atropelamento";0;0;1;0;0;0;0;0;0;0;1;0;0;0;1
"02/03/2024";"11:13:17";"55";"Sinistro s";"176.5";"PR-151";"Oeste";"Colisão Traseira";1;0;0;1;0;0;0;0;0;0;3;0;0;0;0
"02/03/2024";"03:44:06";"82";"Sinistro s";"4";"BR-277/PR";"Leste";"Saída de Pista";0;0;1;0;0;0;0;0;0;0;1;0;0;0;0
"02/03/2024";"11:08:06";"133";"Sinistro s";"4";"BR-277/PR";"Leste";"Queda de Moto";0;0;0;1;0;0;0;0;0;0;1;0;0;0;0
"03/03/2024";"05:07:42";"30";"Sinistro s";"176.993";"PR-151";"Leste";"Colisão Lateral";1;0;1;0;0;0;0;0;0;0;2;0;0;0;0
"03/03/2024";"10:29:17";"60";"Sinistro c";"42";"BR-277/PR";"Leste";"Queda de Moto";0;0;0;1;0;0;0;0;0;0;0;1;0;0;0
"03/03/2024";"05:31:11";"100";"Sinistro s";"45";"BR-277/PR";"Leste";"Colisão Traseira";1;0;0;0;0;0;0;0;0;1;2;0;0;0;0
"03/03/2024";"05:48:50";"101";"Sinistro s";"39";"BR-277/PR";"Leste";"Colisão Traseira";2;0;0;0;0;0;0;0;0;0;3;0;0;0;0
"03/03/2024";"06:09:42";"104";"Sinistro s";"284.395";"PR-151";"Leste";"Choque";1;0;0;0;0;0;0;0;0;0;4;0;0;0;0
"03/03/2024";"06:50:45";"109";"Sinistro s";"278.9";"PR-151";"Oeste";"Engavetamento";2;0;0;0;0;0;0;0;0;0;6;0;0;0;0
"03/03/2024";"06:53:38";"110";"Sinistro c";"67.25";"BR-277/PR";"Oeste";"Colisão Traseira";1;0;0;1;0;0;0;0;0;0;1;0;1;0;0
"03/03/2024";"08:21:00";"127";"Sinistro c";"28.5";"BR-277/PR";"Leste";"Atropelamento";0;0;1;0;0;0;0;0;0;0;0;0;0;0;1
"03/03/2024";"09:42:15";"137";"Sinistro s";"6";"BR-277/PR";"Oeste";"Saída de Pista";1;0;0;0;0;0;0;0;0;0;2;0;0;0;0
"03/03/2024";"11:21:00";"148";"Sinistro s";"28";"BR-277/PR";"Leste";"Choque";0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
"04/03/2024";"07:31:53";"43";"Sinistro s";"43.2";"BR-277/PR";"Leste";"Colisão Lateral";0;0;2;0;0;0;0;0;0;0;2;0;0;0;0
"04/03/2024";"11:57:00";"90";"Sinistro s";"272.83";"PR-151";"Leste";"Saída de Pista";0;0;0;0;0;0;0;0;0;1;0;1;0;0;0
"04/03/2024";"02:40:36";"111";"Sinistro c";"288.379";"PR-151";"Leste";"Colisão Lateral";0;0;0;0;0;0;0;0;0;0;0;2;0;0;0
"04/03/2024";"03:00:24";"115";"Sinistro c";"40.32";"BR-277/PR";"Oeste";"Queda de Moto";0;0;0;1;0;0;0;0;0;0;0;1;0;0;0
"04/03/2024";"06:04:59";"143";"Sinistro c";"292.1";"PR-151";"Oeste";"Atropelamento";0;0;0;0;0;0;0;0;0;0;1;0;0;0;1
"04/03/2024";"09:57:00";"153";"Sinistro s";"38.381";"BR-369/PR";"Oeste";"Colisão Traseira";2;0;0;0;0;0;0;0;0;0;2;0;0;0;0
"05/03/2024";"01:52:31";"7";"Sinistro s";"265.879";"PR-151";"Oeste";"Saída de Pista";1;0;0;0;0;0;0;0;0;0;4;0;0;0;0
"05/03/2024";"07:58:47";"39";"Sinistro c";"82.5";"BR-277/PR";"Oeste";"Colisão Lateral";1;0;0;1;0;0;0;0;0;0;1;1;0;0;0
"05/03/2024";"08:37:00";"45";"Sinistro s";"31.01";"BR-277/PR";"Oeste";"Choque";1;0;0;0;0;0;0;0;0;0;1;0;0;0;0
"05/03/2024";"09:15:04";"51";"Sinistro s";"32.01";"BR-277/PR";"Leste";"Saída de Pista";1;0;0;0;0;0;0;0;0;0;1;0;0;0;0
"05/03/2024";"02:07:54";"89";"Sinistro c";"11.01";"BR-153/PR";"Norte";"Queda de Moto";0;0;0;1;0;0;0;0;0;0;0;1;1;0;0
"05/03/2024";"06:31:33";"110";"Sinistro s";"246.617";"PR-151";"Oeste";"Choque";1;0;0;0;0;0;0;0;0;0;1;0;0;0;0
"06/03/2024";"07:18:09";"39";"Sinistro c";"49.1";"BR-277/PR";"Oeste";"Tombamento";0;0;1;0;0;0;0;0;0;0;0;1;0;0;0
"06/03/2024";"09:25:55";"56";"Sinistro c";"292.1";"PR-151";"Leste";"Choque";1;0;0;0;0;0;0;0;0;0;0;1;0;0;0
"06/03/2024";"04:05:53";"103";"Sinistro s";"19.85";"BR-369/PR";"Leste";"Colisão Lateral";2;0;0;0;0;0;0;0;0;0;2;0;0;0;0
"06/03/2024";"04:07:34";"104";"Sinistro s";"300.85";"PR-151";"Leste";"Saída de Pista";1;0;0;0;0;0;0;0;0;0;1;0;0;0;0
"06/03/2024";"07:12:00";"120";"Sinistro c";"18.184";"BR-369/PR";"Oeste";"Queda de Moto";1;0;0;0;0;0;0;0;0;0;0;1;0;0;0
"07/03/2024";"04:46:19";"20";"Sinistro s";"44";"BR-277/PR";"Oeste";"Saída de Pista";0;0;1;0;0;0;0;0;0;0;1;0;0;0;0
"07/03/2024";"07:40:00";"47";"Sinistro s";"31.44";"BR-277/PR";"Oeste";"Saída de Pista";1;0;0;0;0;0;0;0;0;0;1;0;0;0;0
"07/03/2024";"10:50:09";"79";"Sinistro c";"37.2";"BR-369/PR";"Leste";"Colisão Transversal";2;0;0;0;0;0;0;0;0;0;1;1;0;0;0
"07/03/2024";"11:48:00";"85";"Sinistro c";"28.36";"BR-277/PR";"Oeste";"Colisão Lateral";1;0;1;0;0;0;0;0;0;0;1;0;1;0;0
"07/03/2024";"05:53:05";"111";"Sinistro s";"41.6";"BR-277/PR";"Leste";"Choque";1;0;0;0;0;1;0;0;0;0;1;0;0;0;0
"07/03/2024";"10:50:00";"137";"Sinistro c";"2.6";"BR-277/PR";"Leste";"Atropelamento";0;0;0;1;0;0;0;0;0;0;1;1;0;0;0
"07/03/2024";"11:46:00";"140";"Sinistro s";"24.1";"BR-277/PR";"Oeste";"Saída de Pista";0;0;1;0;0;0;0;0;0;0;2;0;0;0;0
"08/03/2024";"11:57:00";"102";"Sinistro c";"5.1";"BR-277/PR";"Leste";"Colisão Traseira";2;0;0;0;0;0;0;0;0;0;1;3;0;0;0
"08/03/2024";"04:31:12";"135";"Sinistro c";"32.48";"BR-153/PR";"Sul";"Choque";0;0;1;0;0;0;0;0;0;0;0;1;0;0;0
"08/03/2024";"05:31:00";"141";"Sinistro c";"80.45";"BR-277/PR";"Leste";"Colisão Traseira";2;0;0;0;0;0;0;0;0;0;1;0;1;0;0
"08/03/2024";"06:13:22";"145";"Sinistro c";"31.855";"BR-277/PR";"Oeste";"Saída de Pista";0;0;1;0;0;0;0;0;0;0;0;1;0;0;0
"08/03/2024";"10:59:17";"172";"Sinistro s";"32.1";"BR-277/PR";"Leste";"Choque";1;0;0;0;0;0;0;0;0;0;1;0;0;0;0
"09/03/2024";"03:35:06";"14";"Sinistro s";"311.51";"PR-151";"Oeste";"Tombamento";0;0;1;0;0;0;0;0;0;0;1;0;0;0;0
"09/03/2024";"01:35:34";"78";"Sinistro s";"17.9";"BR-153/PR";"Sul";"Colisão Lateral";1;0;1;0;0;0;0;0;0;0;2;0;0;0;0
"09/03/2024";"02:52:24";"90";"Sinistro c";"0.4";"BR-153/PR";"Norte";"Colisão Transversal";1;0;0;1;0;0;0;0;0;0;1;0;1;0;0
"09/03/2024";"03:48:00";"102";"Sinistro s";"6.968";"PR-239";"Leste";"Saída de Pista";0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
"09/03/2024";"04:04:00";"105";"Sinistro c";"318.766";"PR-151";"Leste";"Capotamento";1;0;0;0;0;0;0;0;0;0;0;1;0;0;0
"09/03/2024";"07:59:00";"135";"Sinistro c";"293.601";"PR-151";"Leste";"Capotamento";1;0;0;0;0;0;0;0;0;0;0;1;0;0;0
"09/03/2024";"08:41:22";"139";"Sinistro c";"41.803";"BR-153/PR";"Norte";"Saída de Pista";1;0;0;0;0;0;0;0;0;0;0;1;0;0;0
"09/03/2024";"09:00:21";"141";"Sinistro s";"13.52";"PR-408";"Norte";"Colisão Lateral";1;0;1;0;0;0;0;0;0;0;2;0;0;0;0
"10/03/2024";"07:09:10";"18";"Sinistro c";"7.701";"BR-277/PR";"Oeste";"Colisão Traseira";0;0;1;1;0;0;0;0;0;0;1;0;0;0;1
"10/03/2024";"08:57:49";"35";"Sinistro c";"42.5";"BR-277/PR";"Leste";"Queda de Bicicleta";0;1;0;0;0;0;0;0;0;0;0;0;0;1;0
"10/03/2024";"11:39:56";"51";"Sinistro c";"51.25";"BR-369/PR";"Oeste";"Tombamento";0;0;1;0;0;0;0;0;0;1;1;1;0;0;0
"10/03/2024";"12:49:20";"60";"Sinistro c";"28.98";"BR-369/PR";"Leste";"Colisão Traseira";1;0;0;0;0;0;0;0;0;0;1;1;0;0;0
"10/03/2024";"04:43:33";"110";"Sinistro s";"74.564";"BR-369/PR";"Leste";"Choque";0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
"10/03/2024";"05:51:06";"121";"Sinistro c";"7.24";"PR-855";"Oeste";"Queda de Moto";0;0;0;1;0;0;0;0;0;0;0;0;1;0;0
"10/03/2024";"07:05:06";"126";"Sinistro s";"307.407";"PR-151";"Oeste";"Colisão Traseira";2;0;0;0;0;0;0;0;0;0;2;0;0;0;0
"10/03/2024";"07:14:51";"128";"Sinistro c";"66.135";"BR-277/PR";"Leste";"Colisão Lateral";1;0;0;1;0;0;0;0;0;0;1;0;1;0;0
"10/03/2024";"08:55:32";"138";"Sinistro s";"36.65";"BR-277/PR";"Leste";"Saída de Pista";1;0;0;0;0;0;0;0;0;0;1;0;0;0;0
"10/03/2024";"09:44:51";"146";"Sinistro c";"78.269";"BR-369/PR";"Leste";"Choque";1;0;0;0;0;0;0;0;0;0;0;1;0;0;0
"10/03/2024";"10:43:10";"153";"Sinistro c";"47.937";"BR-369/PR";"Oeste";"Colisão Frontal";1;0;1;0;0;0;0;0;0;0;1;1;1;3;0
"11/03/2024";"02:23:08";"6";"Sinistro s";"215.51";"PR-151";"Oeste";"Colisão Traseira";2;0;0;0;0;0;0;0;0;0;2;0;0;0;0
"11/03/2024";"08:07:06";"39";"Sinistro s";"49.33";"BR-369/PR";"Oeste";"Colisão Traseira";2;0;0;0;0;0;0;0;0;0;2;0;0;0;0
"11/03/2024";"08:41:08";"45";"Sinistro c";"79.8";"BR-277/PR";"Oeste";"Colisão Traseira";1;0;0;1;0;0;0;0;0;0;1;1;0;0;0
"11/03/2024";"08:51:33";"46";"Sinistro s";"70.15";"BR-277/PR";"Leste";"Saída de Pista";1;0;0;0;0;0;0;0;0;0;1;0;0;0;0
"11/03/2024";"09:12:23";"48";"Sinistro s";"1.92";"BR-153/PR";"Norte";"Choque";0;0;1;0;0;0;0;0;0;0;1;0;0;0;0
