data;horario;n_da_ocorrencia;tipo_de_ocorrencia;km;trecho;sentido;tipo_de_acidente;automovel;bicicleta;caminhao;moto;onibus;outros;tracao_animal;transporte_de_cargas_especiais;trator_maquinas;utilitarios;ilesos;levemente_feridos;moderadamente_feridos;gravemente_feridos;mortos
"01/04/2024";"02:22:12";"28";"Sem vítima";"48,320";"BR-277/PR";"Crescente";"Choque";0;0;1;0;0;0;0;0;0;0;1;0;0;0;0
"01/04/2024";"03:39:00";"31";"Sem vítima";"18,550";"BR-277/PR";"Crescente";"Saída de pista";1;0;0;0;0;0;0;0;0;0;2;0;0;0;0
"01/04/2024";"05:55:49";"70";"Sem vítima";"20,460";"BR-153/PR";"Decrescente";"Colisão lateral no mesmo sentido";1;0;0;0;0;0;0;0;0;1;3;0;0;0;0
"01/04/2024";"08:46:33";"121";"Sem vítima";"13,145";"508/PR";"Crescente";"Capotamento";1;0;0;0;0;0;0;0;0;0;1;0;0;0;0
"01/04/2024";"09:23:00";"129";"Com vítima";"22,275";"BR-277/PR";"Decrescente";"Capotamento";1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"01/04/2024";"02:59:42";"177";"Com vítima";"9,150";"BR-277/PR";"Crescente";"Choque";1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"01/04/2024";"03:30:00";"184";"Com vítima";"7,900";"BR-277/PR";"Crescente";"Capotamento";1;0;0;0;0;0;0;0;0;0;1;0;0;0;0
"02/04/2024";"02:35:16";"15";"Com vítima";"38,634";"BR-153/PR";"Decrescente";"Queda de moto";0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
"02/04/2024";"03:03:00";"147";"Com vítima";"31,200";"BR-277/PR";"Crescente";"Queda de moto";0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
"02/04/2024";"07:25:00";"170";"Sem vítima";"49,080";"BR-277/PR";"Crescente";"Choque";1;0;0;0;0;0;0;0;0;0;1;0;0;0;0
"03/04/2024";"03:09:00";"13";"Com vítima";"71,060";"BR-277/PR";"Crescente";"Atropelamento de pedestre";0;0;1;0;0;0;0;0;0;0;1;0;0;0;0
"04/04/2024";"03:25:11";"25";"Sem vítima";"75,220";"BR-277/PR";"Crescente";"Queda de moto";0;0;0;1;0;0;0;0;0;0;2;0;0;0;0
"04/04/2024";"03:34:01";"147";"Com vítima";"1,080";"BR-277/PR";"Decrescente";"Colisão lateral no mesmo sentido";0;0;1;0;0;0;0;0;0;0;1;0;0;0;0
"05/04/2024";"12:46:00";"14";"Sem vítima";"38,100";"BR-277/PR";"Decrescente";"Choque";1;0;0;0;0;0;0;0;0;0;1;0;0;0;0
"05/04/2024";"06:41:56";"68";"Sem vítima";"29,200";"BR-277/PR";"Decrescente";"Choque";1;0;0;0;0;0;0;0;0;0;1;0;0;0;0
"05/04/2024";"08:01:37";"90";"Sem vítima";"39,700";"BR-277/PR";"Decrescente";"Colisão traseira";0;0;1;0;0;0;0;0;0;0;1;0;0;0;0
"05/04/2024";"05:27:00";"220";"Com vítima";"12,367";"BR-277/PR";"Decrescente";"Colisão transversal";1;0;2;0;0;0;0;0;0;0;2;0;0;0;0
"05/04/2024";"06:52:00";"224";"Sem vítima";"20,100";"508/PR";"Decrescente";"Saída de pista";1;0;0;0;0;0;0;0;0;0;1;0;0;0;0
"05/04/2024";"06:58:14";"225";"Sem vítima";"36,500";"BR-277/PR";"Decrescente";"Choque";1;0;0;0;0;0;0;0;0;0;4;0;0;0;0
"06/04/2024";"03:34:26";"27";"Sem vítima";"27,225";"BR-277/PR";"Crescente";"Colisão lateral no mesmo sentido";0;0;1;0;0;0;0;0;0;1;1;0;0;0;0
"06/04/2024";"03:57:17";"32";"Sem vítima";"45,900";"BR-277/PR";"Decrescente";"Queda de moto";0;0;0;1;0;0;0;0;0;0;2;0;0;0;0
"06/04/2024";"02:04:13";"116";"Com vítima";"10,010";"BR-277/PR";"Crescente";"Colisão traseira";1;0;0;0;0;0;0;0;0;1;2;0;0;0;0
"06/04/2024";"04:03:00";"131";"Sem vítima";"55,100";"BR-277/PR";"Crescente";"Choque";1;0;0;0;0;0;0;0;0;0;1;0;0;0;0
"07/04/2024";"12:50:00";"12";"Sem vítima";"68,300";"BR-277/PR";"Crescente";"Capotamento";1;0;0;0;0;0;0;0;0;0;1;0;0;0;0
"07/04/2024";"02:23:39";"15";"Sem vítima";"60,100";"BR-277/PR";"Crescente";"Choque";1;0;0;0;0;0;0;0;0;0;1;0;0;0;0
"07/04/2024";"04:34:12";"19";"Sem vítima";"15,421";"BR-277/PR";"Decrescente";"Choque";1;0;0;0;0;0;0;0;0;0;1;0;0;0;0
"07/04/2024";"05:21:27";"25";"Sem vítima";"34,612";"BR-277/PR";"Decrescente";"Colisão traseira";1;0;1;0;0;0;0;0;0;0;2;0;0;0;0
"07/04/2024";"09:42:00";"3";"Sem vítima";"67,519";"BR-277/PR";"Crescente";"Capotamento";1;0;0;0;0;0;0;0;0;0;2;0;0;0;0
"08/04/2024";"04:50:03";"53";"Sem vítima";"43,620";"BR-277/PR";"Crescente";"Choque";1;0;0;0;0;0;0;0;0;0;1;0;0;0;0
"08/04/2024";"06:44:00";"68";"Com vítima";"30,840";"BR-277/PR";"Decrescente";"Queda de moto";0;0;0;1;0;0;0;0;0;0;1;0;0;0;0
"08/04/2024";"07:03:04";"76";"Sem vítima";"32,400";"BR-277/PR";"Crescente";"Saída de pista";1;0;0;0;0;0;0;0;0;0;1;0;0;0;0
"08/04/2024";"10:07:00";"112";"Com vítima";"33,200";"BR-277/PR";"Crescente";"Queda de moto";0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
"08/04/2024";"03:25:00";"149";"Sem vítima";"27,810";"BR-277/PR";"Decrescente";"Saída de pista";1;0;0;0;0;0;0;0;0;0;1;0;0;0;0
"08/04/2024";"07:55:03";"184";"Com vítima";"31,126";"BR-153/PR";"Crescente";"Colisão transversal";0;0;3;0;0;0;0;0;0;0;0;0;0;0;0
"09/04/2024";"02:09:41";"33";"Com vítima";"23,010";"508/PR";"Crescente";"Queda de moto";0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
"09/04/2024";"04:55:00";"53";"Com vítima";"6,030";"BR-277/PR";"Decrescente";"Colisão traseira";1;0;0;1;0;0;0;0;0;0;1;0;0;0;0
"09/04/2024";"12:11:47";"133";"Sem vítima";"42,520";"BR-277/PR";"Crescente";"Saída de pista";0;0;1;0;0;0;0;0;0;0;1;0;0;0;0
"09/04/2024";"02:02:00";"145";"Com vítima";"77,959";"BR-277/PR";"Crescente";"Queda de moto";0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
"09/04/2024";"06:46:32";"177";"Com vítima";"75,080";"BR-277/PR";"Decrescente";"Atropelamento de pedestre";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"10/04/2024";"05:55:56";"61";"Sem vítima";"19,870";"BR-369/PR";"Decrescente";"Colisão lateral no mesmo sentido";1;0;0;0;0;0;0;0;0;0;2;0;0;0;0
"10/04/2024";"08:37:20";"110";"Com vítima";"37,740";"BR-277/PR";"Decrescente";"Tombamento";0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
"10/04/2024";"10:05:00";"122";"Com vítima";"68,500";"BR-277/PR";"Crescente";"Choque";1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"10/04/2024";"10:40:49";"126";"Sem vítima";"60,250";"BR-277/PR";"Crescente";"Choque";0;0;1;0;0;0;0;0;0;0;1;0;0;0;0
"10/04/2024";"04:33:00";"168";"Com vítima";"48,265";"BR-153/PR";"Decrescente";"Colisão frontal";1;0;1;0;0;0;0;0;0;0;0;0;0;0;0
"10/04/2024";"05:38:45";"176";"Com vítima";"4,519";"BR-153/PR";"Crescente";"Queda de moto";0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
"11/04/2024";"04:10:59";"175";"Com vítima";"29,010";"508/PR";"Decrescente";"Colisão traseira";1;0;0;1;0;0;0;0;0;0;1;0;0;0;0
"11/04/2024";"04:34:17";"178";"Sem vítima";"7,500";"BR-277/PR";"Decrescente";"Colisão lateral no mesmo sentido";1;0;1;0;0;0;0;0;0;0;5;0;0;0;0
"11/04/2024";"04:37:48";"180";"Com vítima";"5,410";"BR-153/PR";"Decrescente";"Queda de moto";0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
"11/04/2024";"06:02:22";"191";"Com vítima";"16,400";"407/PR";"Decrescente";"Atropelamento de pedestre";1;0;0;0;0;0;0;0;0;0;1;0;0;0;0
"11/04/2024";"08:01:00";"201";"Sem vítima";"35,100";"BR-277/PR";"Decrescente";"Colisão traseira";0;0;1;0;0;0;0;0;0;0;1;0;0;0;0
"12/04/2024";"04:42:00";"52";"Com vítima";"1,720";"407/PR";"Decrescente";"Colisão frontal";1;0;1;1;0;0;0;0;0;0;1;0;0;0;0
"12/04/2024";"02:27:50";"149";"Com vítima";"77,400";"BR-277/PR";"Decrescente";"Colisão lateral no mesmo sentido";1;0;0;1;0;0;0;0;0;0;2;0;0;0;0
"12/04/2024";"03:41:11";"169";"Com vítima";"82,720";"BR-369/PR";"Crescente";"Queda de moto";0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
"12/04/2024";"04:03:50";"171";"Sem vítima";"11,010";"BR-277/PR";"Decrescente";"Saída de pista";1;0;0;0;0;0;0;0;0;0;2;0;0;0;0
"12/04/2024";"08:17:33";"196";"Sem vítima";"32,200";"BR-277/PR";"Crescente";"Saída de pista";1;0;0;0;0;0;0;0;0;0;1;0;0;0;0
"12/04/2024";"09:17:00";"7";"Sem vítima";"44,200";"BR-277/PR";"Decrescente";"Colisão traseira";0;0;1;0;0;0;0;0;0;0;1;0;0;0;0
"12/04/2024";"11:58:39";"15";"Sem vítima";"77,120";"BR-277/PR";"Decrescente";"Colisão traseira";2;0;0;0;0;0;0;0;0;0;3;0;0;0;0
"13/04/2024";"03:45:39";"30";"Sem vítima";"32,560";"BR-277/PR";"Crescente";"Capotamento";1;0;0;0;0;0;0;0;0;0;1;0;0;0;0
"13/04/2024";"05:06:20";"35";"Com vítima";"33,185";"BR-277/PR";"Decrescente";"Tombamento";0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
