data;horario;n_da_ocorrencia;tipo_de_ocorrencia;km;trecho;sentido;tipo_de_acidente;automovel;bicicleta;caminhao;moto;onibus;outros;tracao_animal;transporte_de_cargas_especiais;trator_maquinas;utilitarios;ilesos;levemente_feridos;moderadamente_feridos;gravemente_feridos;mortos
"11/10/2014";"12:21:00";"6";"sem vítima";"92.1";"BR-163/MS";"Sul";"Colisão com veículos (traseira)";0;0;1;0;0;1;0;0;0;0;4;0;0;0;0
"11/10/2014";"08:17:00";"139";"sem vítima";"468";"BR-163/MS";"Norte";"Colisão c/ obstáculos";1;0;0;0;0;0;0;0;0;0;1;0;0;0;0
"11/10/2014";"08:34:00";"149";"com vítima";"483";"BR-163/MS";"Norte";"Colisão c/ obstáculos";0;0;0;1;0;0;0;0;0;0;0;1;0;0;0
"11/10/2014";"06:36:00";"287";"sem vítima";"289.1";"BR-163/MS";"Norte";"Colisão c/ obstáculos";1;0;0;0;0;0;0;0;0;0;1;0;0;0;0
"11/10/2014";"07:31:00";"297";"com vítima";"295";"BR-163/MS";"Sul";"Colisão lateral no mesmo sentido";2;0;0;0;0;0;0;0;0;0;2;1;0;0;0
"12/10/2014";"01:50:00";"20";"com vítima";"837";"BR-163/MS";"Sul";"Colisão com veículos (traseira)";1;0;0;0;0;0;0;0;0;0;0;1;0;0;0
"12/10/2014";"06:40:00";"51";"sem vítima";"492.4";"BR-163/MS";"Norte";"Tombamento";0;0;0;0;0;1;0;0;0;0;1;0;0;0;0
"12/10/2014";"03:30:00";"211";"sem vítima";"481.9";"BR-163/MS";"Norte";"Colisão com veículos (traseira)";2;0;0;0;0;0;0;0;0;0;2;0;0;0;0
"12/10/2014";"04:20:00";"230";"com vítima";"32.2";"BR-163/MS";"Sul";"Engavetamento";2;0;0;0;0;0;0;0;0;1;0;3;0;0;0
"13/10/2014";"01:34:00";"31";"com vítima";"445.1";"BR-163/MS";"Sul";"Tombamento";0;0;0;1;0;0;0;0;0;0;0;1;0;0;0
"13/10/2014";"05:43:00";"142";"com vítima";"531";"BR-163/MS";"Sul";"Colisão com veículos (frontal)";1;0;0;0;0;1;0;0;0;0;1;0;0;1;0
"13/10/2014";"07:08:00";"369";"com vítima";"274";"BR-163/MS";"Norte";"Colisão lateral no mesmo sentido";1;0;0;1;0;0;0;0;0;0;1;0;1;0;0
"14/10/2014";"08:01:00";"112";"sem vítima";"187.6";"BR-163/MS";"Sul";"Colisão lateral no mesmo sentido";0;0;0;0;0;2;0;0;0;0;2;0;0;0;0
"14/10/2014";"08:37:00";"124";"com vítima";"478.4";"BR-163/MS";"Norte";"Tombamento de moto";0;0;0;1;0;0;0;0;0;0;0;1;0;0;0
"14/10/2014";"02:23:00";"219";"sem vítima";"108";"BR-163/MS";"Norte";"Saídas de pista";0;0;1;0;0;0;0;0;0;0;1;0;0;0;0
"14/10/2014";"02:36:00";"220";"sem vítima";"115.9";"BR-163/MS";"Norte";"Tombamento";0;0;1;0;0;0;0;0;0;0;1;0;0;0;0
"14/10/2014";"05:13:00";"249";"com vítima";"455";"BR-163/MS";"Sul";"Tombamento";0;0;0;1;0;0;0;0;0;0;0;1;0;0;0
"15/10/2014";"01:15:00";"159";"sem vítima";"127";"BR-163/MS";"Norte";"Colisão c/ obstáculos";0;0;0;0;0;0;0;0;0;1;1;0;0;0;0
"15/10/2014";"02:30:00";"172";"com vítima";"471.9";"BR-163/MS";"Sul";"Colisão com veículos (traseira)";0;0;0;1;0;1;0;0;0;0;1;1;0;0;0
"15/10/2014";"11:20:00";"278";"sem vítima";"716";"BR-163/MS";"Norte";"Colisão lateral no mesmo sentido";0;0;0;0;0;1;0;0;0;1;4;0;0;0;0
