data;horario;n_da_ocorrencia;tipo_de_ocorrencia;km;trecho;sentido;tipo_de_acidente;automovel;bicicleta;caminhao;moto;onibus;outros;tracao_animal;transporte_de_cargas_especiais;trator_maquinas;utilitarios;ilesos;levemente_feridos;moderadamente_feridos;gravemente_feridos;mortos
"01/04/2024";"05:51:10";"2940";"Sem vítima";"145,000";"BR-476/PR";"Decrescente";"Colisão traseira";1;0;0;0;0;0;0;0;0;0;1;0;0;0;0
"01/04/2024";"10:08:00";"2957";"Com vítima";"100,000";"BR-277/PR";"Decrescente";"Colisão traseira";0;0;0;1;0;0;0;0;0;1;1;0;0;0;0
"01/04/2024";"02:08:40";"2982";"Sem vítima";"101,000";"BR-277/PR";"Crescente";"Colisão traseira";1;0;0;0;0;0;0;0;0;1;2;0;0;0;0
"02/04/2024";"03:23:53";"3069";"Com vítima";"7,000";"418/PR";"Crescente";"Colisão lateral no mesmo sentido";1;0;0;1;0;0;0;0;0;0;1;0;0;0;0
"03/04/2024";"02:12:26";"3109";"Com vítima";"192,000";"BR-373/PR";"Decrescente";"Tombamento";0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
"03/04/2024";"04:58:48";"3119";"Sem vítima";"7,000";"418/PR";"Crescente";"Colisão transversal";2;0;0;0;0;0;0;0;0;0;2;0;0;0;0
"03/04/2024";"08:12:00";"3149";"Sem vítima";"133,000";"BR-277/PR";"Crescente";"Colisão traseira";0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
"05/04/2024";"05:43:53";"3373";"Sem vítima";"11,000";"423/PR";"Crescente";"Colisão lateral no mesmo sentido";0;0;0;1;0;0;0;0;0;1;2;0;0;0;0
"05/04/2024";"04:50:00";"3418";"Sem vítima";"110,800";"BR-277/PR";"Decrescente";"Engavetamento";3;0;0;0;0;0;0;0;0;0;3;0;0;0;0
"05/04/2024";"05:33:00";"3422";"Sem vítima";"172,000";"BR-476/PR";"Crescente";"Choque";1;0;0;0;0;0;0;0;0;0;4;0;0;0;0
"05/04/2024";"06:26:00";"3430";"Sem vítima";"181,200";"BR-277/PR";"Decrescente";"Capotamento";1;0;0;0;0;0;0;0;0;0;2;0;0;0;0
"05/04/2024";"06:48:56";"3431";"Sem vítima";"162,000";"BR-277/PR";"Decrescente";"Saída de pista";1;0;0;0;0;0;0;0;0;0;1;0;0;0;0
"05/04/2024";"07:04:00";"3432";"Sem vítima";"123,000";"BR-277/PR";"Decrescente";"Saída de pista";1;0;0;0;0;0;0;0;0;0;1;0;0;0;0
"05/04/2024";"07:17:37";"3434";"Com vítima";"183,000";"BR-476/PR";"Decrescente";"Colisão traseira";2;0;0;0;0;0;0;0;0;0;1;0;0;0;0
"06/04/2024";"03:56:00";"3454";"Sem vítima";"10,000";"423/PR";"Crescente";"Saída de pista";1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"07/04/2024";"12:38:41";"3527";"Sem vítima";"145,000";"BR-476/PR";"Crescente";"Saída de pista";1;0;0;0;0;0;0;0;0;0;2;0;0;0;0
"07/04/2024";"03:31:18";"3534";"Com vítima";"223,000";"BR-373/PR";"Crescente";"Queda de moto";0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
"08/04/2024";"05:17:32";"3621";"Sem vítima";"110,000";"BR-277/PR";"Decrescente";"Engavetamento";3;0;0;0;0;0;0;0;0;0;5;0;0;0;0
"08/04/2024";"07:52:57";"3643";"Sem vítima";"227,000";"BR-373/PR";"Decrescente";"Choque";1;0;0;0;0;0;0;0;0;0;1;0;0;0;0
"08/04/2024";"05:12:44";"3691";"Sem vítima";"155,000";"BR-476/PR";"Crescente";"Colisão traseira";0;0;1;0;0;0;0;0;0;0;1;0;0;0;0
"09/04/2024";"04:48:47";"3713";"Com vítima";"104,000";"BR-277/PR";"Decrescente";"Engavetamento";3;0;0;0;0;0;0;0;0;0;3;0;0;0;0
"09/04/2024";"03:15:58";"3753";"Com vítima";"244,150";"BR-373/PR";"Decrescente";"Tombamento";0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
"09/04/2024";"03:16:32";"3752";"Com vítima";"3,000";"418/PR";"Crescente";"Colisão lateral no mesmo sentido";1;0;0;1;0;0;0;0;0;0;1;0;0;0;0
"09/04/2024";"04:45:23";"3762";"Sem vítima";"209,000";"BR-277/PR";"Crescente";"Colisão lateral no mesmo sentido";0;0;2;0;0;0;0;0;0;0;1;0;0;0;0
"10/04/2024";"02:48:00";"3788";"Com vítima";"174,760";"BR-476/PR";"Decrescente";"Colisão frontal";1;0;0;1;0;0;0;0;0;0;1;0;0;0;0
"10/04/2024";"04:17:00";"3792";"Sem vítima";"105,000";"BR-277/PR";"Crescente";"Engavetamento";5;0;0;0;0;0;0;0;0;0;5;0;0;0;0
"10/04/2024";"04:33:00";"3794";"Sem vítima";"122,000";"BR-277/PR";"Decrescente";"Colisão traseira";1;0;2;0;0;0;0;0;0;0;3;0;0;0;0
"10/04/2024";"07:19:00";"3805";"Sem vítima";"38,000";"427/PR";"Crescente";"Tombamento";0;0;1;0;0;0;0;0;0;0;1;0;0;0;0
"10/04/2024";"09:57:00";"3816";"Com vítima";"152,000";"BR-476/PR";"Decrescente";"Colisão lateral no mesmo sentido";1;0;1;0;0;0;0;0;0;0;1;0;0;0;0
"10/04/2024";"02:12:13";"3836";"Sem vítima";"173,000";"BR-476/PR";"Decrescente";"Colisão traseira";2;0;0;0;0;0;0;0;0;0;2;0;0;0;0
"10/04/2024";"03:42:12";"3843";"Sem vítima";"158,000";"BR-277/PR";"Decrescente";"Colisão lateral no mesmo sentido";1;0;1;0;0;0;0;0;0;0;2;0;0;0;0
"10/04/2024";"05:50:12";"3852";"Com vítima";"146,000";"BR-476/PR";"Decrescente";"Queda de moto";0;0;1;1;0;0;0;0;0;0;0;0;0;0;0
"11/04/2024";"12:04:00";"3913";"Com vítima";"101,000";"BR-277/PR";"Decrescente";"Engavetamento";0;0;3;0;0;0;0;0;0;0;2;0;0;0;0
"12/04/2024";"02:31:43";"4018";"Sem vítima";"602,000";"BR-376/PR";"Decrescente";"Saída de pista";1;0;0;0;0;0;0;0;0;0;1;0;0;0;0
"13/04/2024";"12:43:00";"4051";"Com vítima";"152,500";"BR-476/PR";"Crescente";"Queda de moto";0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
"13/04/2024";"09:17:50";"4072";"Com vítima";"107,000";"BR-277/PR";"Decrescente";"Colisão traseira";1;0;1;0;0;0;0;0;0;0;5;0;0;0;0
"13/04/2024";"07:43:22";"4115";"Sem vítima";"229,700";"BR-277/PR";"Crescente";"Saída de pista";0;0;1;0;0;0;0;0;0;0;1;0;0;0;0
"13/04/2024";"10:18:00";"4121";"Sem vítima";"168,000";"BR-277/PR";"Decrescente";"Capotamento";1;0;0;0;0;0;0;0;0;0;1;0;0;0;0
"14/04/2024";"12:46:00";"4159";"Com vítima";"8,000";"418/PR";"Decrescente";"Colisão frontal";2;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"15/04/2024";"02:24:00";"4193";"Sem vítima";"143,000";"BR-277/PR";"Decrescente";"Choque";1;0;0;0;0;0;0;0;0;0;1;0;0;0;0
"15/04/2024";"02:49:42";"4194";"Com vítima";"19,000";"418/PR";"Crescente";"Capotamento";0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
"15/04/2024";"06:34:07";"4216";"Com vítima";"5,000";"418/PR";"Decrescente";"Colisão transversal";0;0;1;1;0;0;0;0;0;0;1;0;0;0;0
"15/04/2024";"11:54:00";"4248";"Sem vítima";"144,000";"BR-476/PR";"Decrescente";"Tombamento";1;0;0;0;0;0;0;0;0;0;1;0;0;0;0
"15/04/2024";"01:35:00";"4254";"Sem vítima";"600,000";"BR-376/PR";"Crescente";"Colisão traseira";1;0;1;0;0;0;0;0;0;0;2;0;0;0;0
"15/04/2024";"03:48:16";"4263";"Sem vítima";"115,000";"BR-277/PR";"Crescente";"Choque";1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"16/04/2024";"04:40:00";"4296";"Sem vítima";"599,000";"BR-376/PR";"Decrescente";"Colisão lateral no mesmo sentido";1;0;1;0;0;0;0;0;0;0;2;0;0;0;0
"17/04/2024";"05:14:08";"4434";"Sem vítima";"98,000";"BR-277/PR";"Crescente";"Colisão transversal";2;0;0;0;0;0;0;0;0;0;2;0;0;0;0
"17/04/2024";"06:57:49";"4438";"Sem vítima";"153,000";"BR-476/PR";"Decrescente";"Choque";1;0;1;0;0;0;0;0;0;0;2;0;0;0;0
"18/04/2024";"03:48:00";"4455";"Com vítima";"152,000";"BR-476/PR";"Decrescente";"Atropelamento de pedestre";0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
"18/04/2024";"05:36:00";"4465";"Com vítima";"598,000";"BR-376/PR";"Decrescente";"Choque";1;0;1;1;0;0;0;0;0;0;2;0;0;0;0
"18/04/2024";"07:45:16";"4477";"Com vítima";"150,000";"BR-476/PR";"Crescente";"Colisão traseira";0;0;0;1;0;0;0;0;0;1;1;0;0;0;0
"18/04/2024";"01:32:00";"4496";"Com vítima";"209,700";"BR-373/PR";"Decrescente";"Queda de moto";0;0;0;1;0;0;0;0;0;0;0;0;0;0;1
"18/04/2024";"02:01:05";"4498";"Sem vítima";"11,000";"418/PR";"Crescente";"Colisão frontal";2;0;0;0;0;0;0;0;0;0;5;0;0;0;0
"18/04/2024";"03:37:55";"4504";"Com vítima";"26,050";"423/PR";"Crescente";"Engavetamento";2;0;0;1;0;0;0;0;0;0;3;0;0;0;0
"20/04/2024";"06:51:00";"4699";"Sem vítima";"98,000";"BR-277/PR";"Crescente";"Engavetamento";3;0;0;0;0;0;0;0;0;0;3;0;0;0;0
"21/04/2024";"08:13:00";"4783";"Com vítima";"2,000";"418/PR";"Crescente";"Queda de moto";0;0;0;1;0;0;0;0;0;0;1;0;0;0;0
"21/04/2024";"12:12:00";"4796";"Com vítima";"129,000";"BR-277/PR";"Decrescente";"Queda de moto";0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
